Project Name,City,State,Project Preview Description,Project Description,Key Highlight,Focus Areas,Area Type,Population Size,Population Data Year,Gini Coefficient,Partners,Status,Start Year,End Year,Learn More Link,Latitude,Longitude,Map Data Last Updated
32805 Initiative,Orlando,Florida,"KPMG is investing $1M over three years in Orlando’s 32805 area code, partnering with local groups to advance community well-being.","KPMG is investing over $1 million over three years in the 32805 neighborhoods, partnering with the AdventHealth for Children Foundation, Lift Orlando, United Against Poverty and other community collaborators to build a comprehensive, place-based approach to community well-being. ","Funding has supported a full-time pediatric mental health counselor at the AdventHealth Early Learning Center and a full-time program manager for Lift Orlando's EmpowerEd Scholars program. The partnership has activated a range of programs, including training at daycare centers, and strengthening learning ecosystems through art and motion therapy workshops for educators delivered in partnership with United Arts of Central Florida. KPMG’s support has extended to Lift Orlando’s EmpowerEd Scholars Program, providing resources such as financial aid nights and dorm showers. Together, these efforts show how corporate partners can weave healthcare, education, and cultural assets into a neighborhood strategy.","Skills Training, Economic Opportunity, Economic Mobility & Generational Wealthbuilding, Cradle to Career, Arts & Culture",Urban,"334,854",2024,0.49,"LIFT Orlando, Advent Health West Lakes Early Learning Center, United Arts of Central Florida, United Against Poverty, AdventHealth Foundation",Active,2024,,,28.5383832,-81.3789269,
Maryland Philanthropy Network,Baltimore,Maryland,"MPN functions as both a network convener, resource, and a collaborative architect, enabling funders to come together, learn together, and act together.","MPN functions as both a network convener, resource, and a collaborative architect, enabling funders to come together, learn together, and act together.","Instead of acting singularly, philanthropic infrastructure organizations serve as the central convener and coordinator for funders — aligning strategies, pooling resources, and driving a collective shift from giving in the short-term to long-term systemic change and equity. This structure enables funders to co-design with communities, share risk, and adapt together, creating a more powerful and systemic approach to tackling issues alongside grantees and the broader community.","Housing, Arts & Culture, Community Leadership, Economic Opportunity",Urban,"568,271",2024,0.5139,Maryland Philanthropy Network,Active,2019,,https://www.marylandphilanthropy.org/,39.2905023,-76.6104072,
Play Equity Fund,Los Angeles,California,"Play Equity Fund, a trusted intermediary, strengthens neighborhood organizations so every young person has access to recreation and safe spaces to play.","In Los Angeles, philanthropy is advancing play equity; the idea that every young person, deserves access to sports, recreation, and safe spaces to play. Rather than building new infrastructure, funders channel resources through the Play Equity Fund, a trusted intermediary that strengthens existing neighborhood organizations. This approach reweaves a fragmented system into a cohesive movement, amplifying small, hyper-local groups and ensuring that investments reflect community priorities across one of the nation’s most diverse and sprawling cities.","By partnering with organizations, like the Play Equity Fund, to strengthen sports-based youth development and reimagine the built environment, LA’s play equity movement is making life-changing moments more common, accessible, and equitable across neighborhoods.","Sports, Community Leadership, Care Support Systems, Public Space, Youth Leadership",Urban,"3,879,000",2024,0.5,"LA84 Foundation, The Social Justice Learning Institute, Nike Foundation, Play Equity Fund, Youth N Motion Academy",Active,,,https://www.playequityfund.org/,34.0549076,-118.242643,
40 Communities Initiative,Asheville,North Carolina,"As part of Cisco’s 40 Communities initiative, the work in Western North Carolina focuses on long-term recovery and community resilience.","As part of their 40 Communities initiative, Cisco supports housing recovery efforts, contributing to the repair of 220+ homes and supporting partners in expanding their work. Cisco works with local organizations to advance community resilience hubs, enabling communication and access to critical services; helping communities recover while building a stronger, more resilient foundation for the future.","This initiative brings together immediate, tangible recovery, helping families return to safe housing, with longer-term investments in connectivity and communications resilience, creating a coordinated and scalable approach to how communities prepare for and respond to challenges.","Housing, Public Space, Economic Opportunity, Skills Training, Community Leadership",Urban,"95,000",2020,.45,Cisco,Active,2024,2027,https://blogs.cisco.com/our-corporate-purpose/rebuilding-homes-and-a-resilient-community-in-western-north-carolina,35.5950717,-82.5542619,
LISC Puget Sound,Everett,Washington,"LISC has made a multi-year, multi-million dollar commitment to South Everett, serving as the lead convener of a cross-sector initiative to implement an ambitious economic agenda. ","LISC has made a multi-year, multi-million dollar commitment to South Everett, serving as the lead convener of a cross-sector initiative to implement an ambitious economic agenda. Implementation is now underway and involves implementing an affordable housing strategy, expanding workforce development programs, capacity building for community organizations, and more. ","This effort is particularly impactful based on the deep relationships between partners, long-term commitment to moving at the speed of trust, and the way that community is centered in the work.","Arts & Culture, Economic Opportunity, Public Space, Community Leadership, Retail, Housing, Economic Mobility & Generational Wealthbuilding",Urban,"110,629",2020,.45,"Housing Consortium of Everett and Snohomish County, City of Everett, StationsUnidos, Connect Casino Road, LISC Puget Sound",Active,2022,,https://www.lisc.org/puget-sound/our-work/,47.9792969,-122.2086476,
Project Petals,New York,New York,"Project Petals is dedicated to transforming underresourced, frontline and BIPOC communities through environmental advocacy, revitalization, training and food security.","Project Petals is dedicated to transforming underresourced, frontline and BIPOC communities through environmental advocacy, green space revitalization, leadership training and food security. Project Petals works with communities to build and maintain green spaces while identifying and empowering the next generation of climate leaders.","Founded by Alicia White in 2015, Project Petals has grown from a local Queens effort into a globally recognized, United Nations Environmental Programme-accredited organization. The organization now supports hundreds of climate and environmental leaders from frontline communities across New York City and gives thousands of people access to gardens, urban farms, and community green spaces.","Youth Leadership, Criminal Justice, Social Justice, Public Space",Urban,"8,500,000",2025,.55,"United Nations Environmental Programme, Vital Voices, Project Petals",Active,2015,,,,,
Project OneTen,Chicago,Illinois,Project OneTen provides programming for boys of color during the critical transition to high school.,"Project OneTen provides programming for boys of color during the critical transition to high school. Through coaching, community building, and research-based curriculum, they create spaces for boys to cultivate their strengths and unique identities to build a foundation for success in high school and beyond.","The organization supports high-potential referred students who live or attend a Chicago Public School on the city's South or West sides, where the outcome disparities are greatest. The support offered by this program extends beyond academic support; students are guided through a yearlong educator-advised curriculum designed to promote leadership skills, community-building and self-awareness.  In just 4 years of full-time operation, the organization has grown to support over 1000+ students through a mix of in-school and out-of-school programming. ",Youth Leadership,Urban,"2,700,000",2024,.52,"Project OneTen, A Better Chicago, New Schools Venture Fund, Chicago Scholars, Obama Foundation's MBK Initiative, Chicago Public Schools",Active,2019,,https://www.projectoneten.org/,41.883718,-87.632382,
WilmingtoNColor Heritage Tours ,Wilmington,North Carolina,"WilmingtoNColor Heritage Tours is a public history and cultural tourism initiative, designed to preserve and share historically overlooked African American narratives.","WilmingtoNColor reconnects communities to place, restores suppressed narratives, and uses heritage tourism as a tool for education, economic development, and cultural preservation. By bringing thousands of visitors into direct engagement with local history, they reshape public understanding while creating economic opportunities for local businesses and communities.","WilmingtoNColor is one of the only experiences in the country that combines immersive, audiovisual storytelling with live, place-based historical interpretation centered on a suppressed American event like the 1898 Wilmington coup. The program educates thousands annually, partners with local institutions, and drives economic activity to Black-owned and community-rooted businesses. What makes this initiative unique is its ability to function as both a mobile museum and economic driver, transforming tourism into a tool for truth-telling, reconciliation, and community reinvestment.","Youth Leadership, Social Justice, Economic Mobility & Generational Wealthbuilding, Economic Opportunity, Arts & Culture, Community Leadership",Urban,"115,000",2020,.51,WilmingtoNColor Heritage Tours,Active,2021,,https://www.wilmingtoncolor.com/,34.2378038,-77.946392,
The Clark on 54th Community Benefits Fund,Los Angeles,California,"Clark on 54th Community Benefits Fund is a mixed-income, multi-family development at Crenshaw and 54th St in South LA - a corridor shaped by redlining and displacement.","The Clark on 54th Community Benefits Fund is a mixed-income, multi-family housing development located at Crenshaw and 54th St in South LA - a corridor shaped by decades of redlining, disinvestment, & accelerating displacement. Their mission is to deliver long-term affordable housing, build community wealth, and establish a replicable model for locally rooted, equity-driven neighborhood revitalization.
","Slated for completion in December 2026, the development will deliver 48 units, with 21% designated as affordable at Very Low Income AMI levels. These units' affordability is sustained through philanthropic and impact investment, making community partnerships essential to their viability.

The development includes dedicated space for Black retail owners, public art, and outdoor space, ensuring that existing residents and communities benefit from neighborhood change.

The Clark on 54th is proof that communities can lead their own revitalization - and that affordable housing can be delivered without reliance on traditional government subsidy when the right partnerships are in place. ",Housing,Urban,"20,000",2024,.4,"Regenaissance, Praxis Development Group, LISC LA",Active,2026,,https://www.lisc.org/los-angeles/regional-stories/clark-54th-building-legacy-community/,34.0182989,-118.3555624,
The 2036 Opportunity Blueprint ,East Harris County,Texas,"A 10-year, place-based strategy to transform East Harris County; where every resident has a clear pathway to opportunity, economic mobility, and long-term stability.","The East Harris County Empowerment Council (EHCEC) serves as the region’s development anchor, aligning public, private, and philanthropic partners around a shared vision for inclusive growth. Through this Blueprint, EHCEC is stewarding and influencing more than $100 million in coordinated investments to drive lasting, systems-level change.","The strategy is built on five priorities that work together to reshape the region: strengthening community resilience, expanding economic opportunity pathways, growing local leadership, building organizational capacity, and aligning systems through a unified regional approach. Rather than operating disconnected programs, the Blueprint creates a coordinated system of opportunity that connects residents to education, careers, resources, and leadership while aligning institutions and funding toward shared outcomes. This work positions East Harris County as a model for how regions can organize, align capital, and execute long-term transformation at scale.
","Economic Opportunity, Economic Mobility & Generational Wealthbuilding, Community Leadership",Urban,"390,000",2024,.4,East Harris County Empowerment Council,Active,2027,2036,,29.8148224,-94.9856457,
Appalachian Cradle to Career Partnership,Hazard,Kentucky,The Appalachian Cradle to Career Partnership (APPC2C) is a place-based initiative working to create brighter futures in Appalachian Kentucky. ,"The Appalachian Cradle to Career Partnership (APPC2C) is a place-based initiative working to create brighter futures in Appalachian Kentucky. We partner with schools, libraries, and local organizations to align around four strategic priorities: reducing chronic absenteeism, strengthening youth mental health, expanding access to paid work experiences and improving early childhood education. ","Local school district policies were shifted to allow the school district to act as a local workforce partner for the Appalachian Promise Learn and Earn Internship Program, which offers 16 hours of learning and 32 hours of earning per week, including hybrid and fully remote options. The policy change was needed to align with businesses that wanted interns to work remotely and contributed to our success in placing 300 interns across eight counties. Participants benefited from exposure to career options not found in their community and gained workforce experience while earning wages. ",Cradle to Career,Rural,"5,200",2020,.44,"Partners for Rural Impact, Strive Together",Active,,2030,https://partnersrural.org/appalachian-cradle-to-career-partnership/,37.251594,-83.195421,
